"storm","city","when","wind_mph","day","cityimpactday","count","daily","daily_over_7.8m","daily_over_30m","dailydisplacement","step0","mean0","step1","mean1","step2","mean2","step3","mean3","step4","mean4","step5","mean5","step6","mean6","city_radius","dailymax","average"
"Michael","Tampa","Norm 5",NULL,"2018-10-01","2018-10-10","3142","628","329","326","5275.48","303","0.0000","13","0.04","11","0.14","54","0.59","54","1.43","189","4.76","4","11.62","40","67.86","1.68"
"Michael","Tampa","Storm","40","2018-10-10","2018-10-10","718","718","381","373","6016.53","345","0.0005","13","0.21","14","0.78","65","3.13","72","7.49","200","23.79","9","55.80","40","62.84","8.38"
"Mangkhut","Hong Kong","Norm 5",NULL,"2018-09-03","2018-09-16","1619","324","193","187","1364.61","137","0.0002","27","0.04","20","0.13","63","0.54","26","1.46","51","3.86","0","0.00","36","34.57","0.84"
"Mangkhut","Hong Kong","Storm","135","2018-09-16","2018-09-16","362","362","180","178","1412.42","184","0.0002","21","0.13","24","0.71","52","3.00","25","6.68","56","19.10","0","0.00","36","36.37","3.90"
"Florence","Wilmington","Norm 5",NULL,"2018-09-02","2018-09-14","594","119","42","41","359.80","77","0.0000","1","0.05","4","0.13","6","0.70","9","1.64","21","2.51","0","0.00","20","21.44","0.61"
"Florence","Wilmington","Storm","60","2018-09-14","2018-09-14","209","209","84","75","641.86","134","0.0011","2","0.04","3","0.64","16","3.66","19","7.39","35","12.59","0","0.00","20","21.66","3.07"
"Lan","Hamamatsu","Norm 5",NULL,"2017-10-09","2017-10-23","1948","390","217","207","2070.85","182","0.0002","38","0.03","18","0.13","51","0.56","36","1.41","60","4.50","5","12.72","50","83.68","1.06"
"Lan","Hamamatsu","Storm","90","2017-10-23","2017-10-23","416","416","221","212","2119.04","204","0.0010","27","0.14","22","0.70","64","2.54","26","7.39","70","22.36","3","59.98","50","79.56","5.09"
"Lan","Tokyo","Norm 5",NULL,"2017-10-09","2017-10-23","69153","13831","11245","10892","90854.66","2938","0.0005","2511","0.04","1105","0.13","2474","0.54","1771","1.44","2955","4.45","76","11.65","50","91.32","1.31"
"Lan","Tokyo","Storm","55","2017-10-23","2017-10-23","13758","13758","10974","10626","90507.60","3132","0.0022","2269","0.17","952","0.64","2499","2.74","1838","7.19","2998","21.85","70","56.28","50","81.26","6.58"
"Maria","San Juan","Norm 5",NULL,"2017-09-11","2017-09-20","1093","219","81","78","549.58","140","0.0001","6","0.03","7","0.13","20","0.65","28","1.44","18","3.13","0","0.00","20","33.90","0.50"
"Maria","San Juan","Storm","70","2017-09-20","2017-09-20","226","226","77","75","456.97","151","0.0002","12","0.17","8","0.58","17","2.27","17","6.92","21","14.01","0","0.00","20","22.15","2.02"
"Irma","Tampa","Norm 5",NULL,"2017-09-04","2017-09-11","2995","599","337","331","5610.27","268","0.0001","13","0.04","7","0.12","51","0.62","54","1.49","202","4.79","4","11.45","40","67.42","1.87"
"Irma","Tampa","Storm","70","2017-09-11","2017-09-11","674","674","367","362","5538.90","312","0.0003","20","0.18","13","0.74","55","3.04","40","7.30","234","21.65","0","0.00","40","48.63","8.22"
"Harvey","Houston","Norm 5",NULL,"2017-08-14","2017-08-25","13315","2663","1295","1279","18404.08","1384","0.0000","58","0.03","54","0.14","228","0.56","279","1.50","647","4.58","14","11.44","42","76.73","1.38"
"Harvey","Houston","Storm","100","2017-08-25","2017-08-25","2591","2591","1339","1321","19214.50","1270","0.0003","68","0.16","59","0.68","259","2.67","258","7.46","663","23.72","14","58.86","42","71.17","7.42"
"Matthew","Jacksonville","Norm 5",NULL,"2016-09-26","2016-10-07","3480","696","228","223","3618.85","473","0.0000","11","0.03","9","0.13","31","0.57","33","1.57","135","4.47","4","12.62","50","78.94","1.04"
"Matthew","Jacksonville","Storm","115","2016-10-07","2016-10-07","527","527","273","262","4863.74","265","0.0008","15","0.07","10","0.74","34","3.13","34","7.46","157","24.06","12","59.83","50","85.33","9.23"
"Meranti","Taipei","Norm 5",NULL,"2016-08-29","2016-09-14","1192","238","164","159","1342.32","80","0.0003","26","0.03","12","0.13","48","0.56","32","1.41","41","4.62","1","11.94","50","62.81","1.13"
"Meranti","Taipei","Storm","95","2016-09-14","2016-09-14","321","321","221","215","1915.03","106","0.0012","29","0.15","17","0.62","75","2.76","41","6.90","49","23.74","4","61.69","50","64.85","5.97"
"Phanfone","Hamamatsu","Norm 5",NULL,"2014-09-22","2014-10-06","19623","3925","2258","1587","6845.58","2338","0.0012","531","0.03","219","0.13","437","0.51","199","1.42","195","3.87","5","12.94","50","89.87","0.35"
"Phanfone","Hamamatsu","Storm","90","2014-10-06","2014-10-06","8114","8114","4174","2430","6389.26","5684","0.0062","1164","0.12","372","0.65","559","2.37","166","6.99","165","19.77","4","55.92","50","68.09","0.79"
"Kalmaegi","Calasiao","Norm 5",NULL,"2014-09-01","2014-09-14","11449","2290","594","451","1230.26","1838","0.0004","189","0.03","93","0.14","107","0.42","30","1.42","32","3.94","1","12.73","50","90.14","0.11"
"Kalmaegi","Calasiao","Storm","85","2014-09-14","2014-09-14","1374","1374","331","255","720.21","1119","0.0016","92","0.15","69","0.65","71","2.05","7","6.88","14","25.67","2","53.57","50","54.77","0.52"
"Rammasun","Antipolo","Norm 5",NULL,"2014-07-07","2014-07-16","164219","32844","11174","7569","16452.18","25275","0.0007","3555","0.03","1093","0.13","1719","0.52","854","1.43","348","2.63","0","0.00","15","26.07","0.10"
"Rammasun","Antipolo","Storm","40","2014-07-16","2014-07-16","44021","44021","16804","11560","16315.40","32461","0.0037","6601","0.15","1931","0.62","1988","2.51","753","6.99","287","12.94","0","0.00","15","22.55","0.37"
"Rammasun","Manila","Norm 5",NULL,"2014-07-07","2014-07-16","68601","13720","4841","2891","2552.75","10830","0.0008","1828","0.03","410","0.12","561","0.50","91","1.29","1","2.14","0","0.00","6","11.25","0.04"
"Rammasun","Manila","Storm","40","2014-07-16","2014-07-16","22214","22214","8272","4836","2356.38","17378","0.0044","3631","0.14","694","0.60","462","2.23","47","6.45","2","10.29","0","0.00","6","10.31","0.11"
"Haiyan","Cebu City","Norm 4",NULL,"2013-10-28","2013-11-08","11035","2759","1293","1003","2870.83","1756","0.0009","279","0.03","125","0.17","405","0.63","138","1.77","57","3.28","0","0.00","20","26.69","0.26"
"Haiyan","Cebu City","Storm","140","2013-11-08","2013-11-08","1531","1531","823","655","1207.78","876","0.0040","239","0.18","141","0.66","208","2.26","45","6.99","22","12.96","0","0.00","20","20.09","0.79"
"Haiyan","Tacloban","Norm 4",NULL,"2013-10-28","2013-11-08","889","222","99","80","153.50","143","0.0007","23","0.05","17","0.18","34","0.73","5","1.66","1","2.64","0","0.00","11","10.87","0.17"
"Haiyan","Tacloban","Storm","184","2013-11-08","2013-11-08","13","13","6","5","12.90","8","0.0022","0","0.00","2","0.60","2","3.18","1","5.32","0","0.00","0","0.00","11","5.32","0.99"
